Date,Adj Close,Close,High,Low,Open,Volume
2015-01-01,213.7008819580078,238.0124969482422,238.60000610351562,236.2624969482422,237.75,3544940
2015-01-02,216.67501831054688,241.3249969482422,242.3249969482422,237.60000610351562,237.60000610351562,5900384
2015-01-05,214.84559631347656,239.28750610351562,242.6374969482422,238.77499389648438,242.5,4796000
2015-01-06,211.50112915039062,235.5625,239.1374969482422,234.3874969482422,238.5,8219680
2015-01-07,212.118408203125,236.25,237.83749389648438,234.0625,234.9250030517578,5746112
2015-01-08,216.57400512695312,241.21249389648438,242.2375030517578,237.0500030517578,238.5625,9525824
2015-01-09,218.99822998046875,243.91250610351562,245.0,241.64999389648438,243.22500610351562,8985184
2015-01-12,217.0678253173828,241.7624969482422,243.60000610351562,241.125,242.35000610351562,4126412
2015-01-13,216.23728942871094,240.83749389648438,242.9875030517578,238.9250030517578,242.2375030517578,5828348
2015-01-14,216.36074829101562,240.97500610351562,243.66250610351562,239.9250030517578,240.0124969482422,3685232
2015-01-15,222.9263458251953,248.28750610351562,249.5500030517578,242.6875,247.5,11398476
2015-01-16,224.7669219970703,250.33749389648438,253.72500610351562,249.6374969482422,250.5500030517578,7821308
2015-01-19,225.48519897460938,251.1374969482422,255.0,250.7375030517578,253.3125,4239492
2015-01-20,229.16644287109375,255.2375030517578,256.75,250.5,252.5,8505804
2015-01-21,228.94195556640625,254.9875030517578,258.23748779296875,254.58749389648438,256.8500061035156,6740612
2015-01-22,229.23374938964844,255.3125,258.125,254.6374969482422,256.25,6470680
2015-01-23,234.0709991455078,260.70001220703125,262.0,256.1000061035156,257.5,9987912
2015-01-27,241.08547973632812,268.51251220703125,269.4375,260.2250061035156,260.75,9962400
2015-01-28,237.5613250732422,264.5874938964844,273.29998779296875,263.75,267.5,11364940
2015-01-29,245.78794860839844,273.75,275.1499938964844,265.25,268.75,20567616
2015-01-30,241.826171875,269.3374938964844,273.63751220703125,266.0625,273.63751220703125,10570416
2015-02-02,242.7801055908203,270.3999938964844,273.25,263.0874938964844,267.125,5710352
2015-02-03,238.85202026367188,266.0249938964844,270.54998779296875,263.82501220703125,269.625,10200688
2015-02-04,239.66004943847656,266.92498779296875,270.20001220703125,264.3125,265.75,6197512
2015-02-05,241.6353302001953,269.125,273.20001220703125,267.5874938964844,268.75,8059148
2015-02-06,236.47271728515625,263.375,269.73748779296875,262.51251220703125,269.25,6903120
2015-02-09,233.4648895263672,260.0249938964844,262.9375,258.625,261.75,5231896
2015-02-10,236.6859588623047,263.61248779296875,265.57501220703125,257.5,257.5,9275752
2015-02-11,237.57261657714844,264.6000061035156,266.20001220703125,263.25,264.5,4161588
