Date,Adj Close,Close,High,Low,Open,Volume,SMA10,SMA20,SMA50,EMA20,EMA50,RSI,MACD,MACD_signal,MACD_histogram,ROC,BB_upper,BB_middle,BB_lower,ATR,Volume_change,Volume_SMA,Volume_ratio,Future_Close,Target
2015-03-16,978.6698608398438,1281.1500244140625,1305.0,1276.0,1292.5999755859375,1556296,1327.3800048828125,1326.395001220703,1283.439997558594,1312.8088721173394,1295.9615721177925,43.10973514393356,5.613717253170535,14.630790195870048,-9.017072942699512,-4.112712534687165,1384.256285006005,1326.395001220703,1268.5337174354008,32.90360001693421,-0.0192470813025652,2441127.5,0.6375316324116622,1308.574951171875,1
2015-03-17,986.8438720703124,1291.8499755859375,1303.3499755859375,1278.875,1291.25,1267318,1323.0950073242188,1327.51875,1283.8214965820312,1310.8127867333965,1295.8003330381118,46.04609862955827,3.3886967733888014,12.382371511373798,-8.993674737984996,-2.7386173779749483,1381.660162683702,1327.51875,1273.3773373162978,32.30155541472016,-0.185683186231925,2296577.1,0.5518290677025387,1295.6500244140625,0
2015-03-18,977.5435791015624,1279.675048828125,1299.7249755859375,1275.8499755859375,1295.4749755859375,1255170,1312.2625122070312,1326.882501220703,1283.620498046875,1307.8472878852754,1295.1679689514456,43.30705022234776,0.6356102541512882,10.033019259929295,-9.397409005778009,-3.868762417484992,1382.9254516101942,1326.882501220703,1270.839550831212,31.69965859938301,-0.0095855973007563,2241116.0,0.5600647177566891,1286.875,1
2015-03-19,991.6368408203124,1298.125,1302.925048828125,1284.050048828125,1288.0,2448964,1304.7750122070313,1325.897503662109,1284.180498046875,1306.921355705725,1295.2839309533497,48.32367939595697,-0.0568188085107976,8.015051646241277,-8.071870454752075,-2.7403126178106145,1383.2204688707548,1325.897503662109,1268.574538453464,31.09611155656994,0.9511014444258548,2230563.5,1.097912702328358,1256.550048828125,1
2015-03-20,997.2520141601562,1305.4749755859375,1309.0,1289.425048828125,1298.0,1963908,1300.5000122070312,1324.145001220703,1285.8239965820312,1306.7836052181267,1295.683579762471,50.21370677967992,-0.0123498643279162,6.409571344127439,-6.421921208455355,-5.945606946258105,1381.7146142037489,1324.145001220703,1266.5753882376573,30.273171529091734,-0.198065794352224,2197858.8,0.8935551273812495,1257.4000244140625,1
2015-03-23,999.6201782226562,1308.574951171875,1315.5,1303.0,1308.0,1566608,1299.0175048828123,1322.6849975585938,1287.81849609375,1306.9542095946742,1296.1891237393104,51.02726369949784,0.2699227154839718,5.1816416183987455,-4.911718902914774,-4.692283235843044,1380.278952809978,1322.6849975585938,1265.0910423072094,29.003659277013757,-0.2023007187709403,2186109.8,0.7166190829024234,1282.074951171875,0
2015-03-24,989.7467651367188,1295.6500244140625,1318.5,1291.050048828125,1315.0,2394878,1296.447509765625,1320.051251220703,1289.29349609375,1305.877620529854,1296.167982589301,47.539199154958766,-0.5430478846085407,4.036703717797288,-4.579751602405829,-3.8995681079877618,1377.531801955155,1320.051251220703,1262.570700486251,28.8926801266467,0.5287027769550519,2225109.1,1.0762968880941612,1276.9749755859375,0
2015-03-25,983.0432739257812,1286.875,1307.0,1272.5999755859375,1295.699951171875,2224858,1294.8075073242187,1316.7762512207032,1289.9079956054688,1304.0678471460585,1295.8035518995243,45.27633529709721,-1.8738040301379897,2.854602168210233,-4.728406198348223,-2.759938321010233,1373.9800884584124,1316.7762512207032,1259.572413982994,29.286061861462112,-0.0709931779405882,2226355.9,0.9993271965187596,1271.324951171875,0
2015-03-26,959.8781127929688,1256.550048828125,1293.3499755859375,1250.5,1276.6500244140625,3091642,1289.510009765625,1312.7987548828123,1289.9419970703125,1299.5423425443505,1294.264198837901,38.46264790983178,-5.314149775757642,1.2208517794166585,-6.535001555174301,-4.904069925083831,1374.925680708128,1312.7987548828123,1250.6718290574972,30.254912841781785,0.3895907064630641,2292538.3,1.3485672191387164,1273.6500244140625,1
2015-03-27,960.5274047851562,1257.4000244140625,1285.949951171875,1252.050048828125,1265.5,2751776,1286.1325073242188,1309.2575073242188,1290.1109985351563,1295.5287884367042,1292.818544938927,38.740921774176414,-7.881212922583927,-0.5995611609834588,-7.281651761600468,-3.519978449723218,1375.4073628485717,1309.2575073242188,1243.1076517998658,30.515269234779517,-0.109930580578217,2330527.4,1.180752476885704,1292.5,1
