Stock,Date,Close,Predicted,Probability,Future_Close,Actual,Result
RELIANCE,2025-09-09,1376.199951171875,DOWN,0.5461061597411496,1405.300048828125,UP,WRONG
RELIANCE,2025-09-10,1377.0,DOWN,0.5391537328586864,1413.800048828125,UP,WRONG
RELIANCE,2025-09-11,1383.300048828125,DOWN,0.5545325886034205,1415.0,UP,WRONG
RELIANCE,2025-09-12,1395.0,DOWN,0.5576680475674936,1407.4000244140625,UP,WRONG
RELIANCE,2025-09-15,1399.300048828125,DOWN,0.5633784853582788,1390.5999755859375,DOWN,CORRECT
RELIANCE,2025-09-16,1405.300048828125,DOWN,0.5588894267975988,1389.800048828125,DOWN,CORRECT
RELIANCE,2025-09-17,1413.800048828125,DOWN,0.568489434444788,1383.0,DOWN,CORRECT
RELIANCE,2025-09-18,1415.0,DOWN,0.5774452346135257,1372.4000244140625,DOWN,CORRECT
RELIANCE,2025-09-19,1407.4000244140625,DOWN,0.5644342112435494,1377.5999755859375,DOWN,CORRECT
RELIANCE,2025-09-22,1390.5999755859375,DOWN,0.5184144023035983,1372.800048828125,DOWN,CORRECT
RELIANCE,2025-09-23,1389.800048828125,DOWN,0.5296496677459626,1364.0,DOWN,CORRECT
RELIANCE,2025-09-24,1383.0,DOWN,0.5159390077860305,1368.699951171875,DOWN,CORRECT
RELIANCE,2025-09-25,1372.4000244140625,DOWN,0.5013399143300706,1363.4000244140625,DOWN,CORRECT
RELIANCE,2025-09-26,1377.5999755859375,DOWN,0.5159424766663085,1375.0,DOWN,CORRECT
RELIANCE,2025-09-29,1372.800048828125,DOWN,0.5130290362517079,1384.800048828125,UP,WRONG
RELIANCE,2025-09-30,1364.0,DOWN,0.5064985155185844,1367.4000244140625,UP,WRONG
RELIANCE,2025-10-01,1368.699951171875,DOWN,0.5224804371840737,1377.800048828125,UP,WRONG
RELIANCE,2025-10-03,1363.4000244140625,DOWN,0.5177737388417509,1381.699951171875,UP,WRONG
RELIANCE,2025-10-06,1375.0,DOWN,0.5543319561018549,1375.0,DOWN,CORRECT
RELIANCE,2025-10-07,1384.800048828125,DOWN,0.5759164578595094,1375.9000244140625,DOWN,CORRECT
RELIANCE,2025-10-08,1367.4000244140625,DOWN,0.5340106306674062,1374.300048828125,UP,WRONG
RELIANCE,2025-10-09,1377.800048828125,DOWN,0.5504800260365121,1398.300048828125,UP,WRONG
RELIANCE,2025-10-10,1381.699951171875,DOWN,0.5574115449005599,1416.800048828125,UP,WRONG
RELIANCE,2025-10-13,1375.0,DOWN,0.5408615070223279,1466.800048828125,UP,WRONG
RELIANCE,2025-10-14,1375.9000244140625,DOWN,0.5380139759797796,1465.199951171875,UP,WRONG
RELIANCE,2025-10-15,1374.300048828125,DOWN,0.5388949102110127,1448.4000244140625,UP,WRONG
RELIANCE,2025-10-16,1398.300048828125,DOWN,0.5860385806152091,1451.5999755859375,UP,WRONG
RELIANCE,2025-10-17,1416.800048828125,DOWN,0.606782672557822,1484.0999755859375,UP,WRONG
RELIANCE,2025-10-20,1466.800048828125,DOWN,0.6340542040715244,1486.9000244140625,UP,WRONG
RELIANCE,2025-10-21,1465.199951171875,DOWN,0.6120951007856837,1504.199951171875,UP,WRONG
RELIANCE,2025-10-23,1448.4000244140625,DOWN,0.5831401510085115,1488.5,UP,WRONG
RELIANCE,2025-10-24,1451.5999755859375,DOWN,0.5853895657581507,1486.4000244140625,UP,WRONG
RELIANCE,2025-10-27,1484.0999755859375,DOWN,0.5916913984637171,1484.699951171875,UP,WRONG
RELIANCE,2025-10-28,1486.9000244140625,DOWN,0.5994109999102177,1473.0999755859375,DOWN,CORRECT
RELIANCE,2025-10-29,1504.199951171875,DOWN,0.602779886270748,1496.0999755859375,DOWN,CORRECT
RELIANCE,2025-10-30,1488.5,DOWN,0.563889675211419,1478.0,DOWN,CORRECT
RELIANCE,2025-10-31,1486.4000244140625,DOWN,0.5618617543089299,1489.300048828125,UP,WRONG
RELIANCE,2025-11-03,1484.699951171875,DOWN,0.5596511259185517,1493.4000244140625,UP,WRONG
RELIANCE,2025-11-04,1473.0999755859375,DOWN,0.5508620616369024,1511.5,UP,WRONG
RELIANCE,2025-11-06,1496.0999755859375,DOWN,0.5834196694517523,1510.9000244140625,UP,WRONG
RELIANCE,2025-11-07,1478.0,DOWN,0.5723861949230074,1518.9000244140625,UP,WRONG
RELIANCE,2025-11-10,1489.300048828125,DOWN,0.5823854535972202,1518.300048828125,UP,WRONG
RELIANCE,2025-11-11,1493.4000244140625,DOWN,0.5797868328392118,1519.4000244140625,UP,WRONG
RELIANCE,2025-11-12,1511.5,DOWN,0.5961297837696482,1518.9000244140625,UP,WRONG
RELIANCE,2025-11-13,1510.9000244140625,DOWN,0.6104595867040017,1549.0999755859375,UP,WRONG
RELIANCE,2025-11-14,1518.9000244140625,DOWN,0.6199955153710877,1546.5999755859375,UP,WRONG
RELIANCE,2025-11-17,1518.300048828125,DOWN,0.6286872224007451,1535.9000244140625,UP,WRONG
RELIANCE,2025-11-18,1519.4000244140625,DOWN,0.6267049834413976,1539.699951171875,UP,WRONG
RELIANCE,2025-11-19,1518.9000244140625,DOWN,0.6255090221910862,1569.9000244140625,UP,WRONG
RELIANCE,2025-11-20,1549.0999755859375,DOWN,0.6502253784889297,1563.4000244140625,UP,WRONG
